id,company_name,website,prior_status,prior_score,prior_category,new_score,recommended_category,outreach_tone,reasoning,suggested_status
"51","ALPHA ETHER INFORMATION TECHNOLOGY, LLC","","disqualified","3","sales","5","relationship_building","warm intro, no hard ask","Generic 'ALPHA ETHER INFORMATION TECHNOLOGY' name with no org-type data; contact alone does not clarify fit.","qualified"
"52","SECURITY BLUE PROTECTION AND INFORMATION TECHNOLOGY, LLC","","disqualified","2","sales","6","sales","direct compliance pitch","VOSB/SDVOSB veteran-owned status + 'SECURITY BLUE PROTECTION' name signal IT-security focus relevant to CMMC; direct pitch justified.","qualified"
"53","I. M. SYSTEMS GROUP, INC.","","disqualified","2","sales","5","relationship_building","warm intro, no hard ask","WOSB status positive but 'I.M. Systems Group' lacks clear defense indicators; soft approach better matches uncertainty.","qualified"
"54","BELIEVE! ENTERPRISES LLC","","disqualified","3","sales","5","relationship_building","warm intro, no hard ask","WOSB/EDWOSB status signals small business, but 'BELIEVE! ENTERPRISES' name is generic and non-defense; soft relationship-building appropriate.","qualified"
"55","SAITECH INC","","disqualified","3","sales","5","relationship_building","warm intro, exploratory outreach","WOSB certification signals government contracting focus, and named contact Mangala Annambhotla is reachable; lack of defense-specific org type or CMMC data warrants softer initial approach.","qualified"
"56","ADVANCED AUTOMATION TECHNOLOGIES INC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor database membership is the primary positive signal; no org type or defense indicators present, so relationship-building touch is appropriate.","qualified"
"57","SECURESOFT TECHNOLOGIES LLC","","disqualified","3","sales","6","relationship_building","warm intro, exploratory outreach","HUBZone certification strongly indicates small business government contracting; named contact William Addai is available, but missing defense-specific context warrants measured engagement.","qualified"
"58","KUBRA CYBERSECURITY, LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Cybersecurity in company name suggests potential compliance relevance, but unknown org type and no government contractor indicators beyond database membership limit confidence.","qualified"
"59","BTC DESIGN STUDIO LLC","","disqualified","3","sales","5","relationship_building","warm intro, exploratory outreach","VOSB certification indicates veteran-owned government contractor; named contact Jessica Mackey is reachable, but lack of defense or compliance signals warrants soft initial contact.","qualified"
"60","ELIAV INTERNATIONAL LLC","","disqualified","3","sales","5","relationship_building","warm intro, exploratory outreach","WOSB certification and named contact Raquel Eliav signal government contracting focus; no defense-specific or compliance indicators justify measured approach.","qualified"
"61","BAD RIVER GROUP LLC","","disqualified","2","sales","3","relationship_building","warm intro, no hard ask","Government contractor database membership is sole concrete signal; no org type, defense indicators, or compliance context available.","disqualified"
"62","METATECH CONSULTING INCORPORATED","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Consulting firm name suggests potential IT/compliance adjacency; named contact James Thomas is available, but unknown org type and contractor status require exploratory outreach.","qualified"
"63","KNOWCEAN CONSULTING INC.","","disqualified","2","sales","3","relationship_building","warm intro, no hard ask","Consulting in company name hints at services fit, but government contractor database membership is the only concrete signal; no defense or compliance indicators visible.","disqualified"
"64","C BROWN ENTERPRISES LLC","","disqualified","3","sales","4","relationship_building","warm intro, no hard ask","Government contractor database membership and named contact Courtney Brown available; no org type or defense indicators warrant exploratory rather than direct pitch.","qualified"
"65","RITENET CORP.","","disqualified","1","sales","2","relationship_building","warm intro, minimal ask","Minimal data beyond government contractor database membership and contact name; no defense or compliance signals present.","disqualified"
"66","EVO TECHNOLOGIES, LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Technology in company name and named contact Bernard Ellis Jr. available; government contractor database membership is primary signal, but no defense-specific indicators.","qualified"
"67","VETEGRITY LLC","","disqualified","2","sales","6","relationship_building","warm intro, exploratory outreach","VOSB/SDVOSB certifications indicate veteran-owned government contractor with strong compliance credibility; named contact Sean Keller is available for measured engagement.","qualified"
"68","SURVEILLANCE & CYBER SECURITY SOLUTIONS LLC","","disqualified","3","sales","6","sales","direct compliance pitch","Company name explicitly references Surveillance & Cyber Security, strongly indicating CMMC-relevant work; named contact Timothy Williams is reachable for direct compliance outreach.","qualified"
"69","DYNAMIX CORPORATION","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor database membership and named contact Laurence King available; no org type or defense indicators to justify direct pitch.","qualified"
"70","CLOSEDLOOP COMMUNICATIONS INC","","disqualified","2","sales","4","partnership","partner exploration, soft ask","Communications in company name suggests potential IT/networking services firm; named contact Levin Custis III available; could be partnership/referral-channel fit rather than direct buyer.","qualified"
"71","COLUMBIA TECHNOLOGY PARTNERS, INC.","","disqualified","2","sales","6","relationship_building","warm intro, exploratory outreach","VOSB/SDVOSB certifications signal veteran-owned government contractor; named contact Allen Scott is available, but lack of tech/defense-specific signals warrants soft approach.","qualified"
"72","MLA TECHNOLOGIES LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor database membership and named contact Jamel Monroe available; technology-adjacent but no org type or defense context limits confidence.","qualified"
"73","E CYBER7 TECHNOLOGIES, LLC","","disqualified","3","sales","6","relationship_building","warm intro, exploratory outreach","VOSB/SDVOSB certifications indicate veteran-owned government contractor; named contact Eddie Fentry available; lack of specific tech/defense context warrants relationship-building tone.","qualified"
"74","INFOSURE TECHNOLOGIES","","disqualified","2","sales","5","sales","direct compliance pitch","Infosure Technologies name directly implies information security; government contractor database membership plus security focus justifies direct compliance pitch to contact Ladi Layeni.","qualified"
"75","RAREWORKS, LLC","","disqualified","2","sales","3","relationship_building","warm intro, no hard ask","Government contractor database membership and named contact Richard Rarey; no org type, tech focus, or defense indicators visible.","disqualified"
"76","POINT BLANK TECHNOLOGIES, INC.","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor database membership and named contact Greg Tyler available; Point Blank name suggests defense-adjacent but no additional context to confirm fit.","qualified"
"77","SEMPER FORTIS SOLUTIONS LLC","","disqualified","3","sales","5","relationship_building","warm intro, exploratory outreach","Semper Fortis name has military/defense connotation suggesting compliance mindset; named contact Ellen Ferro available; lack of explicit tech/contractor signals warrants measured approach.","qualified"
"78","PROGRESSIVE COMPUTER SOLUTIONS INC.","","disqualified","2","sales","5","partnership","partner exploration, soft ask","Computer Solutions in name suggests IT services; named contact Mukul Kumar available; potential MSP/consulting partner for Vulnaguard rather than direct buyer.","qualified"
"79","RAU SOLUTIONS LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor database membership and named contact Karthik Rau available; no org type, tech focus, or defense indicators to justify direct pitch.","qualified"
"80","DIVERSIFIED GLOBAL PARTNERS JV LLC","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor registration + named contact are positive, but company name 'Diversified Global Partners JV' is generic; recommend light outreach to understand if they handle DoD/sensitive data.","qualified"
"81","COMMUNICATIONS SCIENTIFIC INTERNATIONAL, INCORPORATED","","disqualified","3","sales","6","relationship_building","soft intro, explore compliance needs","'Communications Scientific International' suggests potential defense IT/comms work; government contractor status + named contact warrant exploration despite missing CMMC details.","qualified"
"82","INTELLIGENT MODELS PLUS INC.","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact are baseline positives, but 'Intelligent Models Plus' gives no clear defense signal; recommend discovery call to understand business model.","qualified"
"83","NTELIGEN, LLC","","disqualified","3","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact are positive, but 'NTELIGEN' company name is opaque; light outreach to understand if they're a defense IT/security firm.","qualified"
"84","CYMERTEK CORPORATION","","disqualified","3","sales","6","relationship_building","soft intro, explore compliance fit","'CYMERTEK' name suggests tech/security potential aligned with defense; government contractor status + named contact warrant soft exploration of their compliance posture.","qualified"
"85","SYSTECTURE SOLUTIONS LLC","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact present, but 'Systecture Solutions' is generic; recommend light outreach to determine if they're in defense tech or IT services.","qualified"
"86","ADSYSTECH, INC.","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact are positive, but 'ADSYSTECH' name is vague on industry focus; soft discovery call warranted to assess defense/compliance relevance.","qualified"
"87","JOHNSTEK, INC.","","disqualified","3","sales","6","relationship_building","soft intro, explore compliance fit","VOSB/SDVOSB designations + government contractor status + named contact are strong signals for defense subcontractor; recommend gentle outreach to explore compliance needs.","qualified"
"88","TIDAL FEDERAL SOLUTIONS INC","","disqualified","2","sales","6","relationship_building","soft intro, explore compliance fit","'Tidal Federal Solutions' name strongly implies federal/defense work; government contractor status + named contact warrant soft exploration of their CMMC posture.","qualified"
"89","COMMUNICATIONS RESEARCH & TECHNOLOGIES INTERNATIONAL, LLC","","disqualified","2","sales","6","relationship_building","soft intro, explore compliance fit","8(a) designation + 'Communications Research & Technologies' name suggest defense contractor potential; government contractor status + named contact justify light compliance discovery outreach.","qualified"
"90","COREHIVE COMPUTING LLC","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact present, but 'CoreHive Computing' name doesn't clearly signal defense; soft outreach to determine if they're in defense IT services.","qualified"
"91","UNISOFT TECHNOLOGY INC","","disqualified","3","sales","6","relationship_building","soft intro, explore compliance fit","8(a) designation + government contractor status + named contact suggest defense subcontractor potential; recommend light outreach to explore compliance requirements.","qualified"
"92","KEV ENTERPRISES LLC","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact are positive, but 'KEV Enterprises' is generic with no clear defense signal; soft discovery warranted to assess relevance.","qualified"
"93","SAGETECH SOLUTIONS LLC","","disqualified","2","sales","7","sales","direct compliance pitch with women/vet angle","WOSB/VOSB/SDVOSB designations are strong defense contractor signals; government contractor status + named contact + these certifications suggest strong fit for Sentinel compliance product.","qualified"
"94","JED-TALLE(JT) CONSULTING, LLC","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact present, but 'JED-TALLE Consulting' is generic with no clear defense/tech signal; soft outreach to understand business model.","qualified"
"95","INFOACRO, LLC","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact are baseline positives, but 'INFOACRO' name is opaque; recommend light discovery to determine if they're in defense IT/compliance services.","qualified"
"96","INTELLIFORCE-IT SOLUTIONS GROUP, LLC","","disqualified","3","sales","6","relationship_building","soft intro, explore compliance fit","WOSB designation + government contractor status + named contact suggest defense contractor potential; recommend soft outreach to explore compliance needs.","qualified"
"97","MIND OVER MACHINES, INC.","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact present, but 'Mind Over Machines' is generic with no clear defense signal; light outreach to determine business relevance to CMMC.","qualified"
"98","ISIGHT SOLUTIONS LLC","","disqualified","3","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact present; 'iSight Solutions' suggests possible IT/security work; soft outreach to explore if they handle federal/sensitive data.","qualified"
"99","FEDSOFT INC","","disqualified","3","sales","7","sales","direct compliance pitch, federal IT angle","Company name 'FedSoft Inc' is a strong signal for federal/defense IT work; government contractor status + named contact + name semantics together suggest high likelihood of CMMC compliance need.","qualified"
"100","TORKNET, LLC","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact present; founder-like contact name (Christopher Tork) suggests potential owner access; soft outreach to explore business model and compliance relevance.","qualified"
"101","THE BIRCHMERE GROUP, LLC","","disqualified","2","sales","6","relationship_building","soft intro, explore compliance fit","VOSB/SDVOSB designations + government contractor status + named contact are positive for defense subcontractor potential; recommend light outreach to explore compliance posture.","qualified"
"102","MSYS , LLC","","disqualified","3","sales","6","relationship_building","soft intro, explore compliance fit","VOSB designation + government contractor status + named contact suggest defense contractor potential; soft outreach warranted to explore compliance needs.","qualified"
"103","GRID1T LLC","","disqualified","2","sales","5","relationship_building","soft intro, gather company context","Government contractor + named contact present, but 'Grid1T LLC' is generic with no clear defense/tech signal; light discovery outreach to determine business relevance.","qualified"
"104","KNOWLEDGE INTEGRITY, INC.","","disqualified","3","sales","6","relationship_building","soft intro, explore compliance fit","'Knowledge Integrity Inc' name suggests possible compliance/security consulting; government contractor status + named contact warrant soft outreach to explore CMMC positioning and referral potential.","qualified"
"105","ACEPROTOCOL LLC","","disqualified","2","sales","5","relationship_building","warm intro, no hard ask","Government contractor database membership plus named contact support outreach, but company name 'ACEPROTOCOL' suggests possible tech/security angle worth exploring softly without assuming CMMC need.","qualified"
"106","MS TECHNOLOGIES CORP","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor status and named contact are baseline positives, but 'MS TECHNOLOGIES' is generic and lacks any defense/security signal to warrant direct sales approach.","qualified"
"107","STANTON SECURE TECHNOLOGIES LLC","","disqualified","3","sales","6","sales","direct compliance pitch","8(a), WOSB, and EDWOSB designations strongly signal small defense subcontractor intent; named contact Lisa Wallace makes direct CMMC compliance inquiry appropriate.","qualified"
"108","BANDLIGHT LLC","","disqualified","3","sales","6","sales","direct compliance pitch","VOSB and SDVOSB status indicate veteran-owned small business likely pursuing defense contracts; named contact Najeeb Bandaogo merits direct compliance outreach.","qualified"
"109","EZRA TECHNOLOGIES INC","","disqualified","3","sales","4","relationship_building","warm intro, no hard ask","Government contractor database membership confirmed but 'EZRA TECHNOLOGIES' lacks defense-specific signals; soft relationship-building contact with Derrick Bailey is prudent.","qualified"
"110","NINE MIND SOLUTIONS CORPORATION","","disqualified","3","sales","4","relationship_building","warm intro, no hard ask","Government contractor registration is positive but 'NINE MIND SOLUTIONS' name and lack of defense indicators suggest holding off hard pitch until more context emerges.","qualified"
"111","PRIMETRICS TECHNOLOGIES LLC","","disqualified","3","sales","4","relationship_building","warm intro, no hard ask","Government contractor status alone insufficient; 'PRIMETRICS TECHNOLOGIES' lacks defense/security positioning signal to justify direct compliance pitch.","qualified"
"112","RUNEMASTER, LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor baseline confirmed with named contact Brian Knudson, but generic 'RUNEMASTER' name and no defense cues warrant soft touch only.","qualified"
"113","EMCS, LLC","","disqualified","3","sales","5","relationship_building","warm intro, no hard ask","HUBZone designation adds small-business credibility; EMCS LLC initials are unclear but government contractor status and Herbert Emerson contact justify light outreach.","qualified"
"114","PRECISE FEDERAL CONSULTING LLC","","disqualified","3","sales","5","sales","soft compliance inquiry","'PRECISE FEDERAL CONSULTING' name strongly implies government work; named contact Jyothi Bhargava and 'Federal' positioning support a gentle direct pitch.","qualified"
"115","ENCOMPASS IT SECURITY SOLUTIONS INC","","disqualified","3","sales","6","partnership","partner/co-sell pitch","WOSB status, IT SECURITY in company name, and named contact Felicia Hill suggest this could be an IT services or security consulting firm worth exploring as a referral/partnership channel.","qualified"
"116","NEXT LEVEL ADVISORY SERVICES, LLC","","disqualified","1","sales","3","relationship_building","warm intro, no hard ask","8(a) status is positive but 'NEXT LEVEL ADVISORY SERVICES' lacks any security, defense, or CMMC signal; minimal outreach only.","disqualified"
"117","SECURE TECHNOLOGIES LLC","","disqualified","2","sales","5","sales","soft compliance inquiry","'SECURE TECHNOLOGIES' in company name suggests security/compliance awareness; named contact Shonda Talley merits a soft direct inquiry about compliance needs.","qualified"
"118","BTC TECHNOLOGIES LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor database membership confirmed with named contact, but 'BTC TECHNOLOGIES' lacks defense or security cues.","qualified"
"119","MAJIDY - IT CONSULTING LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor status plus named contact Gholam Majidy present, but 'IT CONSULTING' alone is too generic for direct pitch without more context.","qualified"
"120","PRIWILS INC","","disqualified","2","sales","5","relationship_building","warm intro, no hard ask","8(a) and WOSB certifications support small defense contractor potential, but company name and lack of sector signals warrant cautious approach with Deneen Williams.","qualified"
"121","ECHELON TECHNOLOGIES LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor status confirmed with named contact Richard Olorunfemi-Godson, but generic 'ECHELON TECHNOLOGIES' name lacks defense positioning.","qualified"
"122","PRO TECH CBB, LLC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor baseline with named contact Laynita Cichy, but 'PRO TECH CBB' initialism and lack of security/defense signals warrant soft approach only.","qualified"
"123","FOREVER SOLUTIONS GROUP INC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor database membership plus named contact Stephannie Dzidzornu, but generic 'FOREVER SOLUTIONS' name and no sector indicators suggest light touch.","qualified"
"124","MARTEK CYBERSECURITY SOLUTIONS, LLC","","disqualified","2","sales","6","sales","direct compliance pitch","'MARTEK CYBERSECURITY SOLUTIONS' explicitly signals security/compliance focus; named contact Mark Johnson and cybersecurity positioning justify direct CMMC pitch.","qualified"
"125","REAL TIME SOLUTIONS OF AMERICA INC","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor status confirmed with named contact Peter Hofleitner, but 'REAL TIME SOLUTIONS' is too generic and lack of defense signals warrant cautious approach.","qualified"
"126","BLACK EAGLE DEFENSE LLC","","disqualified","4","sales","7","sales","direct compliance pitch","'BLACK EAGLE DEFENSE' company name is a strong defense subcontractor signal; named contact Andrew Gehman and defense positioning support direct CMMC compliance outreach.","qualified"
"127","NU-PULSE TECHNOLOGIES, INC","","disqualified","3","sales","4","relationship_building","warm intro, no hard ask","Government contractor status with named contact Patrick Weithers confirmed, but 'NU-PULSE TECHNOLOGIES' lacks defense or compliance cues for direct pitch.","qualified"
"128","NEWWAVE TELECOM AND TECHNOLOGIES, INC.","","disqualified","2","sales","4","relationship_building","warm intro, no hard ask","Government contractor baseline with named contact Christopher Mills, but 'NEWWAVE TELECOM' name suggests telecom/infrastructure rather than defense subcontracting.","qualified"
"129","ZNET TECH LLC","","disqualified","3","sales","4","relationship_building","warm intro, no hard ask","Government contractor status confirmed with named contact Gary Block, but 'ZNET TECH' is generic and lacks defense, security, or compliance signals.","qualified"
"130","ALQIMI TECHNOLOGY SOLUTIONS, INC.","","disqualified","3","sales","5","sales","soft intro, compliance value prop","Named contact and government contractor registration provide baseline signals; 'ALQIMI TECHNOLOGY SOLUTIONS' suggests a tech/services firm that could need compliance monitoring, but no visible defense tie warrants cautious outreach.","qualified"
